expiry,tradeable,datetime,open,high,low,close,volume
KCK24,True,2024-01-18 10:15:00,177.2,177.2,176.6,176.6,70
KCK24,True,2024-01-18 10:16:00,176.65,176.8,176.55,176.75,37
KCK24,True,2024-01-18 10:17:00,176.8,177.1,176.75,176.75,34
KCK24,True,2024-01-18 10:18:00,176.75,176.75,176.7,176.75,6
KCK24,True,2024-01-18 10:19:00,176.9,176.95,176.45,176.45,29
KCK24,True,2024-01-18 10:20:00,176.3,176.45,176.3,176.3,9
KCK24,True,2024-01-18 10:21:00,176.4,176.4,176.4,176.4,1
KCK24,True,2024-01-18 10:22:00,176.55,176.85,176.4,176.75,26
KCK24,True,2024-01-18 10:23:00,176.85,176.85,176.8,176.8,8
KCK24,True,2024-01-18 10:24:00,176.7,176.7,176.6,176.6,2
KCK24,True,2024-01-18 10:25:00,176.4,176.4,176.25,176.35,4
KCK24,True,2024-01-18 10:26:00,176.35,176.35,176.35,176.35,0
KCK24,True,2024-01-18 10:27:00,176.35,176.35,176.35,176.35,0
KCK24,True,2024-01-18 10:28:00,176.45,176.45,176.35,176.35,9
KCK24,True,2024-01-18 10:29:00,176.4,176.4,176.35,176.4,3
KCK24,True,2024-01-18 10:30:00,176.25,176.25,176.25,176.25,1
KCK24,True,2024-01-18 10:31:00,176.45,176.85,176.45,176.8,26
KCK24,True,2024-01-18 10:32:00,176.7,176.85,176.7,176.85,14
KCK24,True,2024-01-18 10:33:00,176.85,176.85,176.85,176.85,0
KCK24,True,2024-01-18 10:34:00,176.5,176.5,176.5,176.5,1
KCK24,True,2024-01-18 10:35:00,176.6,176.8,176.6,176.8,13
KCK24,True,2024-01-18 10:36:00,176.75,176.75,176.75,176.75,2
KCK24,True,2024-01-18 10:37:00,176.8,176.9,176.8,176.85,10
KCK24,True,2024-01-18 10:38:00,177.05,177.05,177.05,177.05,5
KCK24,True,2024-01-18 10:39:00,176.95,176.95,176.95,176.95,2
KCK24,True,2024-01-18 10:40:00,176.7,176.7,176.65,176.65,2
KCK24,True,2024-01-18 10:41:00,176.65,176.65,176.65,176.65,0
KCK24,True,2024-01-18 10:42:00,176.55,176.55,176.5,176.5,5
KCK24,True,2024-01-18 10:43:00,176.4,176.4,176.35,176.35,3
KCK24,True,2024-01-18 10:44:00,176.5,176.5,176.5,176.5,5
KCK24,True,2024-01-18 10:45:00,176.55,176.55,176.55,176.55,1
KCK24,True,2024-01-18 10:46:00,176.55,176.55,176.55,176.55,0
KCK24,True,2024-01-18 10:47:00,176.75,176.75,176.75,176.75,2
KCK24,True,2024-01-18 10:48:00,176.75,176.75,176.75,176.75,0
KCK24,True,2024-01-18 10:49:00,176.75,176.75,176.75,176.75,0
KCK24,True,2024-01-18 10:50:00,176.8,176.9,176.65,176.65,12
KCK24,True,2024-01-18 10:51:00,176.65,176.65,176.65,176.65,0
KCK24,True,2024-01-18 10:52:00,176.65,176.65,176.65,176.65,0
KCK24,True,2024-01-18 10:53:00,176.6,176.6,176.6,176.6,3
KCK24,True,2024-01-18 10:54:00,176.5,176.5,176.5,176.5,1
